状态,代码,名称,趋势,5日涨跌幅_%,10日涨跌幅_%,20日涨跌幅_%,RSI14,K,D,J,KDJ状态,DIF,DEA,MACD柱,MACD状态,情绪分数,情绪标签,情绪缺失项,净流入截至,5日份额净流入_元,5日净流入错误,10日份额净流入_元,10日净流入错误,20日份额净流入_元,20日净流入错误,政策面理由,基本面理由,技术面理由,情绪面理由
技术候选,515630,证券保险ETF鹏华,多头,2.6066,1.3261,0.7758,42.4658,62.63,49.08,89.73,多头,0.009253,0.009944,-0.001382,收敛,75.89,偏热,,2026-07-20,376033000.00,,388883500.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+2.61%/+1.33%/+0.78%，RSI14=42.5，KDJ=多头，MACD=收敛。,情绪分数75.9（偏热）；5/10/20日份额净流入为+3.76亿/+3.89亿/N/A(missing_share_date)，5日成交量相对前20日为1.95倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,159992,创新药ETF银华,多头,0.1139,5.7762,16.8883,56.4935,58.35,61.77,51.51,空头,0.028239,0.025954,0.004569,零轴上多头,61.87,偏热,,2026-07-20,158670000.00,,199799400.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.11%/+5.78%/+16.89%，RSI14=56.5，KDJ=空头，MACD=零轴上多头。,情绪分数61.9（偏热）；5/10/20日份额净流入为+1.59亿/+2.00亿/N/A(missing_share_date)，5日成交量相对前20日为1.42倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,159985,豆粕ETF华夏,多头,-0.2724,2.1385,10.1805,70.1613,58.09,63.58,47.10,空头,0.037958,0.031385,0.013145,零轴上多头,60.49,偏热,,2026-07-20,13062000.00,,26067600.00,,,missing_share_date,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-0.27%/+2.14%/+10.18%，RSI14=70.2，KDJ=空头，MACD=零轴上多头。,情绪分数60.5（偏热）；5/10/20日份额净流入为+0.13亿/+0.26亿/N/A(missing_share_date)，5日成交量相对前20日为1.58倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,513650,标普500ETF南方,多头,-0.1048,-0.0524,2.0343,56.3380,40.20,55.93,8.74,空头,0.007530,0.008496,-0.001932,收敛,60.44,偏热,,2026-07-20,80442000.00,,175472000.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-0.10%/-0.05%/+2.03%，RSI14=56.3，KDJ=空头，MACD=收敛。,情绪分数60.4（偏热）；5/10/20日份额净流入为+0.80亿/+1.75亿/N/A(missing_share_date)，5日成交量相对前20日为1.38倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,513120,港股创新药ETF广发,多头,0.2555,3.0648,19.2503,58.5082,47.03,53.55,33.98,空头,0.029578,0.025469,0.008218,零轴上多头,57.10,中性,,2026-07-20,94321000.00,,102967500.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.26%/+3.06%/+19.25%，RSI14=58.5，KDJ=空头，MACD=零轴上多头。,情绪分数57.1（中性）；5/10/20日份额净流入为+0.94亿/+1.03亿/N/A(missing_share_date)，5日成交量相对前20日为1.39倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,511190,信用债ETF海富通,多头,0.0850,0.0684,0.1486,71.3725,90.64,86.77,98.37,超买,0.067859,0.073361,-0.011003,收敛,57.01,中性,,2026-07-20,102333000.00,,217999550.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.09%/+0.07%/+0.15%，RSI14=71.4，KDJ=超买，MACD=收敛。,情绪分数57.0（中性）；5/10/20日份额净流入为+1.02亿/+2.18亿/N/A(missing_share_date)，5日成交量相对前20日为0.64倍，代表池综合宽度42.6%，缺失分项：无。
观察,562350,电力ETF银华,震荡,5.5089,6.2030,-0.6157,57.1429,74.58,57.10,109.56,多头,-0.017423,-0.028433,0.022021,收敛,77.87,偏热,,2026-07-20,25486000.00,,26550000.00,,,missing_share_date,2026年汽车标准化工作聚焦新能源汽车、智能网联、汽车芯片、固态电池等方向；同时部分税收优惠未来调整，需兼顾支持与退坡风险。 [工业和信息化部｜2026-06-12｜2026年汽车标准化工作要点](https://www.miit.gov.cn/xwfb/gxdt/sjdt/art/2026/art_202b76b65f354309a28d38686d988108.html),制造业整体保持增长，但新能源链仍受价格竞争、产能利用率与海外需求影响；仅凭政策不能替代盈利和资金验证。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+5.51%/+6.20%/-0.62%，RSI14=57.1，KDJ=多头，MACD=收敛。,情绪分数77.9（偏热）；5/10/20日份额净流入为+0.25亿/+0.27亿/N/A(missing_share_date)，5日成交量相对前20日为2.13倍，代表池综合宽度42.6%，缺失分项：无。
观察,510050,上证50ETF华夏,震荡,0.7194,2.2576,2.4958,50.4658,48.87,41.36,63.89,金叉,0.002580,0.004859,-0.004557,收敛,75.98,偏热,,2026-07-20,4997522700.00,,5779951200.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为+0.72%/+2.26%/+2.50%，RSI14=50.5，KDJ=金叉，MACD=收敛。,情绪分数76.0（偏热）；5/10/20日份额净流入为+49.98亿/+57.80亿/N/A(missing_share_date)，5日成交量相对前20日为1.80倍，代表池综合宽度42.6%，缺失分项：无。
观察,159887,银行ETF富国,震荡,1.3365,3.9516,1.5760,72.1649,79.81,84.38,70.67,死叉,0.008998,0.000804,0.016387,零轴上多头,68.99,偏热,,2026-07-20,63136800.00,,7496100.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+1.34%/+3.95%/+1.58%，RSI14=72.2，KDJ=死叉，MACD=零轴上多头。,情绪分数69.0（偏热）；5/10/20日份额净流入为+0.63亿/+0.07亿/N/A(missing_share_date)，5日成交量相对前20日为1.07倍，代表池综合宽度42.6%，缺失分项：无。
观察,159852,软件ETF嘉实,震荡,2.8190,5.3191,-3.2123,46.9194,38.95,36.84,43.17,金叉,-0.012417,-0.015341,0.005846,收敛,68.64,偏热,,2026-07-20,327683000.00,,250703000.00,,,missing_share_date,六部门部署智能工厂梯度培育，政策支持人工智能与制造业融合和场景落地；执行节奏与商业化质量仍需验证。 [工业和信息化部等六部门｜2026-07-15｜关于开展2026年度智能工厂梯度培育行动的通知](https://www.ncsti.gov.cn/kjdt/tzgg/202607/t20260720_251553.html),上半年制造业增加值同比增长5.6%，为数字化和AI应用提供需求基础；ETF成份股估值与订单兑现差异较大。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+2.82%/+5.32%/-3.21%，RSI14=46.9，KDJ=金叉，MACD=收敛。,情绪分数68.6（偏热）；5/10/20日份额净流入为+3.28亿/+2.51亿/N/A(missing_share_date)，5日成交量相对前20日为1.10倍，代表池综合宽度42.6%，缺失分项：无。
